ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family
maloh,Maloh,emba1238,,,,,,
iban,Iban,iban1264,,,,,,
wuna,Wuna,muna1247,,,,,,
baree,Bare'e,pamo1252,,,,,,
tetum,Tetum,tetu1246,,,,,,
merinamalagasy,Merina_Malagasy,plat1254,,,,,,
moken,Moken,moke1242,,,,,,
thao,Thao,thao1240,,,,,,
nias,Nias,nias1242,,,,,,
hanunoo,Hanunoo,hanu1241,,,,,,
singhi,Singhi,baub1235,,,,,,
palauan,Palauan,pala1344,,,,,,
tunjung,Tunjung,tunj1244,,,,,,
berawanlongterawan,Berawan_Long_Terawan,west2564,,,,,,
centralamis,Central Amis,amis1246,,,,,,
tsou,Tsou,tsou1248,,,,,,
banoni,Banoni,bann1247,,,,,,
chamorro,Chamorro,cham1312,,,,,,
banggi,Banggi,bong1289,,,,,,
mailu,Mailu,mail1248,,,,,,
